time,data,butter,laplace,gaussian,target
27.75,4007.0,4017.388360703559,4015.799061403782,4017.25023462273,4017.2156181654987
27.779999999999998,4007.0,4017.4974382985797,4015.8367109202295,4017.3768423806464,4017.3193059689515
27.81,4011.0,4017.6055079472058,4015.831150522615,4017.5198448108395,4017.41950589111
27.84,4011.0,4017.7124894992726,4015.7972346197325,4017.6750240126694,4017.517217462658
27.869999999999997,4015.0,4017.8182953942514,4015.7482790221775,4017.837186028643,4017.6131828204834
27.9,4015.0,4017.9228325058725,4015.696168719525,4018.001587657465,4017.708041642397
27.93,4015.0,4018.02600374429,4015.646490003171,4018.163060839081,4017.801758079657
27.959999999999997,4030.0,4018.12770984219,4015.6178545495095,4018.3169698375877,4017.895650312462
27.99,4030.0,4018.2278531519546,4015.6453047499003,4018.458352809058,4017.9926482774595
28.02,4030.0,4018.3263430276675,4015.7410024077376,4018.583284437035,4018.093503106612
28.05,4028.0,4018.42309925982,4015.894270033543,4018.6885305370324,4018.1967594649136
28.08,4028.0,4018.5180524056846,4016.092865961848,4018.7723322177962,4018.3009617425123
28.11,4028.0,4018.611142964261,4016.3281926361783,4018.834190263287,4018.4051526613557
28.14,4021.0,4018.702320370271,4016.58622880034,4018.874463048927,4018.507925481144
28.169999999999998,4021.0,4018.791541076453,4016.845727142794,4018.894921525467,4018.6072977279887
28.2,4017.0,4018.8787656633053,4017.091563386386,4018.898594006924,4018.702028269975
28.23,4017.0,4018.9639560725363,4017.3141191524446,4018.889446871618,4018.7915214604354
28.259999999999998,4017.0,4019.04707363417,4017.5099498800755,4018.8723463812103,4018.8758885334646
28.29,4018.0,4019.1280780700426,4017.6823465384537,4018.852632798898,4018.9559603897696
28.32,4018.0,4019.2069274128307,4017.835587123172,4018.836250143504,4019.0327256569326
28.349999999999998,4017.0,4019.2835782316456,4017.971075856893,4018.828913284656,4019.1068614994715
28.38,4017.0,4019.357985555221,4018.087661138059,4018.8362909313328,4019.1787836511166
28.41,4017.0,4019.430102492744,4018.1856581793063,4018.864188532603,4019.249066665386
28.439999999999998,4013.0,4019.4998796741656,4018.2617110122637,4018.917706720899,4019.317845512649
28.47,4013.0,4019.5672641446436,4018.307981612533,4019.000521837571,4019.384661660725
28.5,4013.0,4019.632197834959,4018.3226367919024,4019.115872980991,4019.449609245257
28.529999999999998,4011.0,4019.6946163996713,4018.306693072164,4019.2660877264066,4019.512971199594
28.56,4011.0,4019.75444842307,4018.2587188442953,4019.4524840549375,4019.5746790283793
28.59,4018.0,4019.811615053883,4018.18878738276,4019.675506396981,4019.6357214210807
28.619999999999997,4018.0,4019.8660311650283,4018.117125954314,4019.934762205596,4019.698013748014
28.65,4018.0,4019.917607733981,4018.052984875345,4020.229093111593,4019.762293985879
28.68,4026.0,4019.9662539822193,4018.005773822496,4020.55663638835,4019.8292442068605
28.709999999999997,4026.0,4020.0118797001373,4017.993695558305,4020.9160278117333,4019.900476097114
28.74,4026.0,4020.0543981229243,4018.022778924931,4021.3039526997914,4019.976191660812
28.77,4019.0,4020.093727408665,4018.079526828831,4021.717439615791,4020.0546785713946
28.799999999999997,4019.0,4020.129789378935,4018.143132226225,4022.152568952275,4020.133401620998
28.83,4017.0,4020.1625068008852,4018.20131980033,4022.6065705914616,4020.210794479887
28.86,4017.0,4020.191801159714,4018.249442321139,4023.07596390852,4020.2859815507372
28.89,4017.0,4020.2175914697114,4018.2859133257157,4023.55721506033,4020.3583860143735
28.919999999999998,4029.0,4020.239794489358,4018.3267806734334,4024.0468126142687,4020.4291949202566
28.95,4029.0,4020.258327497666,4018.401167631013,4024.5409135440714,4020.500870115641
28.98,4029.0,4020.273112657438,4018.5198262356807,4025.03580456632,4020.5740532061504
29.009999999999998,4047.0,4020.284081016692,4018.6995286401657,4025.527611405891,4020.6499788179594
29.04,4047.0,4020.291177609949,4018.9772148107027,4026.0123545149063,4020.7318990205204
29.07,4005.0,4020.2943654670153,4019.310602286189,4026.4860363432995,4020.8151562365615
29.099999999999998,4005.0,4020.2936197596214,4019.5873537784746,4026.9447698718886,4020.8881081727336
29.13,4005.0,4020.2889135475607,4019.7603062320595,4027.3845940388424,4020.945620865139
29.16,4033.0,4020.280209253328,4019.8751302675687,4027.801858038779,4020.9918662332975
29.189999999999998,4033.0,4020.267462929773,4020.0074156656883,4028.1931283981485,4021.034024750202
29.22,4033.0,4020.2506344999265,4020.189324651833,4028.5559426189657,4021.075034327021
29.25,4023.0,4020.2296939813077,4020.4019157981843,4028.8883533991902,4021.112782104784
29.279999999999998,4023.0,4020.2046207715316,4020.615810365948,4029.1892675723743,4021.1442044110577
29.31,4043.0,4020.175401232695,4020.8422242520132,4029.4586707117264,4021.1704104825303
29.34,4043.0,4020.1420311518414,4021.1283223310247,4029.697566848197,4021.1962138393956
